category,price,date
Apparel,92,2020-11-02T16:38:27.000Z
Apparel,30,2020-11-02T16:38:27.000Z
Accessories,4,2020-11-02T17:39:12.000Z
New,3,2020-11-02T17:39:12.000Z
Lifestyle,16,2020-11-02T17:39:12.000Z
Accessories,3,2020-11-02T17:39:12.000Z
Office,16,2020-11-02T17:39:12.000Z
Drinkware,18,2020-11-02T17:39:12.000Z
Drinkware,20,2020-11-02T18:03:46.000Z
Apparel,38,2020-11-02T18:03:46.000Z
Accessories,4,2020-11-02T18:03:46.000Z
Apparel,38,2020-11-02T18:03:46.000Z
Apparel,32,2020-11-02T18:03:46.000Z
New,12,2020-11-02T18:54:52.000Z
Shop by Brand,30,2020-11-02T18:54:52.000Z
Apparel,24,2020-11-02T18:54:52.000Z
Apparel,18,2020-11-02T19:11:58.000Z
Accessories,11,2020-11-02T19:11:58.000Z
New,12,2020-11-02T19:11:58.000Z
Apparel,10,2020-11-02T19:11:58.000Z
Shop by Brand,30,2020-11-02T19:38:07.000Z
Shop by Brand,37,2020-11-02T19:38:07.000Z
Apparel,55,2020-11-02T19:39:19.000Z
Apparel,21,2020-11-02T19:41:27.000Z
Uncategorized Items,18,2020-11-02T19:41:27.000Z
Uncategorized Items,42,2020-11-02T20:46:02.000Z
Shop by Brand,55,2020-11-02T20:52:37.000Z
New,12,2020-11-02T21:52:41.000Z
Apparel,71,2020-11-02T21:52:41.000Z
Accessories,16,2020-11-02T22:07:16.000Z
Accessories,16,2020-11-02T22:07:16.000Z
Small Goods,4,2020-11-02T22:07:16.000Z
Accessories,16,2020-11-02T22:07:16.000Z
Lifestyle,13,2020-11-02T22:24:36.000Z
Drinkware,18,2020-11-02T22:24:36.000Z
Lifestyle,14,2020-11-02T22:24:36.000Z
Lifestyle,16,2020-11-02T22:24:36.000Z
Apparel,48,2020-11-02T22:26:48.000Z
Google,3,2020-11-02T22:26:48.000Z
Campus Collection,7,2020-11-02T23:28:56.000Z
Accessories,3,2020-11-02T23:28:56.000Z
Small Goods,4,2020-11-02T23:28:56.000Z
Campus Collection,7,2020-11-02T23:28:56.000Z
Apparel,55,2020-11-02T23:30:13.000Z
Apparel,48,2020-11-02T23:30:13.000Z
Apparel,48,2020-11-02T23:45:07.000Z
Campus Collection,14,2020-11-02T23:45:07.000Z
Apparel,71,2020-11-02T23:45:07.000Z
Campus Collection,32,2020-11-03T00:12:35.000Z
Campus Collection,11,2020-11-03T00:12:35.000Z
Clearance,9,2020-11-03T01:14:52.000Z
Drinkware,4,2020-11-03T01:14:52.000Z
Lifestyle,33,2020-11-03T01:22:03.000Z
Lifestyle,2,2020-11-03T01:22:03.000Z
Campus Collection,14,2020-11-03T02:18:54.000Z
Office,3,2020-11-03T02:18:54.000Z
Apparel,48,2020-11-03T03:13:24.000Z
Campus Collection,41,2020-11-03T03:13:24.000Z
Campus Collection,32,2020-11-03T03:13:24.000Z
Apparel,10,2020-11-03T03:48:36.000Z
Clearance,9,2020-11-03T03:48:36.000Z
Small Goods,4,2020-11-03T03:50:14.000Z
Accessories,24,2020-11-03T03:50:14.000Z
Campus Collection,7,2020-11-03T04:04:56.000Z
Campus Collection,11,2020-11-03T04:04:56.000Z
Campus Collection,6,2020-11-03T04:04:56.000Z
Stationery,12,2020-11-03T04:04:56.000Z
Stationery,1,2020-11-03T04:04:56.000Z
Writing Instruments,2,2020-11-03T04:04:56.000Z
Clearance,14,2020-11-03T04:04:56.000Z
Shop by Brand,30,2020-11-03T04:07:51.000Z
Apparel,24,2020-11-03T04:36:13.000Z
Drinkware,10,2020-11-03T05:03:35.000Z
Apparel,55,2020-11-03T05:05:52.000Z
New,16,2020-11-03T05:10:01.000Z
Google,3,2020-11-03T05:10:01.000Z
Apparel,14,2020-11-03T05:10:01.000Z
New,12,2020-11-03T05:10:01.000Z
Apparel,32,2020-11-03T05:25:11.000Z
Campus Collection,41,2020-11-03T05:29:15.000Z
Campus Collection,7,2020-11-03T05:29:15.000Z
Campus Collection,32,2020-11-03T05:29:15.000Z
Office,3,2020-11-03T06:01:07.000Z
Uncategorized Items,18,2020-11-03T06:08:22.000Z
Apparel,13,2020-11-03T06:08:22.000Z
Apparel,24,2020-11-03T06:08:22.000Z
Apparel,14,2020-11-03T06:08:22.000Z
Campus Collection,6,2020-11-03T06:13:23.000Z
Bags,6,2020-11-03T06:48:23.000Z
New,3,2020-11-03T06:48:23.000Z
Drinkware,20,2020-11-03T06:48:23.000Z
New,3,2020-11-03T06:48:23.000Z
Uncategorized Items,18,2020-11-03T06:48:23.000Z
Writing Instruments,2,2020-11-03T06:48:23.000Z
Small Goods,4,2020-11-03T06:48:23.000Z
Lifestyle,14,2020-11-03T06:48:23.000Z
Apparel,44,2020-11-03T07:30:14.000Z
Apparel,92,2020-11-03T07:30:14.000Z
Apparel,55,2020-11-03T07:30:14.000Z
Apparel,44,2020-11-03T07:30:14.000Z
Apparel,44,2020-11-03T07:30:14.000Z
Apparel,44,2020-11-03T07:33:23.000Z
Shop by Brand,37,2020-11-03T07:33:23.000Z
Shop by Brand,44,2020-11-03T07:56:06.000Z
Office,5,2020-11-03T07:56:06.000Z
Shop by Brand,44,2020-11-03T07:56:06.000Z
Apparel,22,2020-11-03T07:56:06.000Z
Uncategorized Items,18,2020-11-03T07:56:06.000Z
Apparel,55,2020-11-03T07:56:06.000Z
Apparel,14,2020-11-03T08:19:14.000Z
Bags,16,2020-11-03T08:19:14.000Z
Bags,10,2020-11-03T08:19:14.000Z
Apparel,20,2020-11-03T10:39:38.000Z
Apparel,48,2020-11-03T10:39:38.000Z
Apparel,55,2020-11-03T10:39:38.000Z
